ID,Posted at,Screen name,Text
826720479876698112,2017-02-01 09:14:56 +0000,UweSchummer,Deutschland: Lebenshilfe NRW sieht keine Grundlage für politische Zusammenarbeit mit #AfD | ZEIT ONLINE https://t.co/sBjcMwkRSL,CDU
826720363954438144,2017-02-01 09:14:29 +0000,SCLemme,Ein interessantes Interview mit Jusovorsitzendem Maximilian Schröter aus #Nordhausen. https://t.co/NcywAsnJqn,SPD
826720053324308481,2017-02-01 09:13:15 +0000,josip_juratovic,#Vielfalt im #Bundestag: Ich bin einer von 37 #Abgeordneten mit #Migrationshintergrund. 20 von uns haben ihre Gesch… https://t.co/GY5k6kKBvu,SPD
826719903235371008,2017-02-01 09:12:39 +0000,DJanecek,.@vbw_bayern @IHK_MUC Bitte klar Stellung beziehen zum unsäglichen CSU-Arbeitsverbot für Asylbewerber @MerkurStadt  https://t.co/epnFRS7MTE,GRUENE
826719362904182785,2017-02-01 09:10:30 +0000,DJanecek,#CSU-Arbeitsverbot für Asylbewerber ist ein Skandal. Schlecht für die Wirtschaft. Schlecht für unsere Sicherheit.  https://t.co/epnFRS7MTE,GRUENE
826718391855611904,2017-02-01 09:06:38 +0000,RenateKuenast,Guten morgen #Jerusalem. Aufschlussreiche Gespräche. Aber schlechtere Chancen für 2 Staaten und damit für Frieden u… https://t.co/8YbNIwxVNK,GRUENE
826718221206183936,2017-02-01 09:05:58 +0000,meister_schafft,Besuch der Baustelle des Ärztehauses in Heppenheim. Weiteres Element der Gesundheitsversorgung,CDU
826717429103476736,2017-02-01 09:02:49 +0000,UweSchummer,RT @Lebenshilfe_NRW: Lebenshilfe NRW sieht keine Grundlage für politische Zusammenarbeit mit AfD... https://t.co/3YafL1Vyjg,CDU
826716961363095552,2017-02-01 09:00:57 +0000,agnieszka_mdb,RT @ThielsChristian: ICYMI: Etwas mehr Bunt im Tarnfleck  - mein Kommentar zu sexueller Vielfalt in der #Bundeswehr @tagesschau https://t.co/wKRpJUtmMa #LGBT,GRUENE
826716929440247808,2017-02-01 09:00:50 +0000,Annette_Groth,Resolution des Europarates zur humanitären Krise im Gazastreifen:... https://t.co/6sQKLlqjLD,DIE LINKE
826716736577818625,2017-02-01 09:00:04 +0000,NiemaMovassat,RT @rpo_dinslaken: Niema Movassat - Donald Trumps Erlass ist rassistisch https://t.co/JQKDrGZPEq,DIE LINKE
826715681173409792,2017-02-01 08:55:52 +0000,drmfuchs,"#jwb 2017 Michael Fuchs (CDU) strich heraus, dass es in Deutschland ""de facto kaum noch Jugendarbeitslosigkeit""... https://t.co/LdtNJaIBHX",CDU
826715673644716032,2017-02-01 08:55:50 +0000,DJanecek,"1320 Mitglieder zählen @Gruene_Muenchen mittlerweile, so viele wie nie zu vor. https://t.co/sBknnBkYJS",GRUENE
826715094184816640,2017-02-01 08:53:32 +0000,Petra_Sitte_MdB,Was soll mir das sagen? https://t.co/1Eot2n76h5 https://t.co/b9Ys60lgb5,DIE LINKE
826715056150810624,2017-02-01 08:53:23 +0000,MatthiasGastel,#deutschebahn Ein erfolgversprechender Neustart an der Konzernspitze setzt einen Neustart der deutschen Verkehrspolitik voraus.,GRUENE
826714568999260160,2017-02-01 08:51:27 +0000,MechthildHeil,"Gut, hat ja auch lange gedauert:https://t.co/AqcMb6vrBK",CDU
826714522165641216,2017-02-01 08:51:16 +0000,UweSchummer,RT @Lebenshilfe_NRW: #Rees | Lossprechung bei der Lebenshilfe https://t.co/3Ejh3sj8dD,CDU
826714454675058688,2017-02-01 08:51:00 +0000,drthomasfeist,"Ei in kaltes Wasser legen, ab Kochen 4 Minuten - perfekt! https://t.co/aYYjcdRuvJ",CDU
826714248625664001,2017-02-01 08:50:11 +0000,UweKekeritz,Die #Hungerkrise in #Nigeria spitzt sich zu. Die intern. Gemeinschaft darf nicht wegsehen. Schnelle Hilfe notwendig! https://t.co/cEoFXvgE2g,GRUENE
